MissionID,CategoryID,Unlock,Title,Summary
MI0000,CA0000,1,腹ペコの修理屋,チュートリアルをクリアした。エラー状態のヘッドを見つける。
MI0001,CA0000,1,自己紹介,エリア１のステージを全てクリアする。ヘッドの修理が完了する。エラー状態のボディを見つける。
MI0002,CA0000,1,初めての差し戻し,エリア２までのステージを全てクリアする。ボディの修理が完了する。ヘッドとボディのITが失敗する。
MI0003,CA0000,1,記録に無くても記憶には,エリア２までのステージを全てクリアする。ボディの修理が完了する。ヘッドとボディのITが成功する。エラー状態のライトアームとレフトアームを見つける。
MI0004,CA0000,1,スクラップ,エリア２までかつ、エリア３を全てクリアする。ライトアームの修理が完了する。ライトアームとボディのITが成功する。
MI0005,CA0000,1,トモダチ,エリア２までかつ、エリア４を全てクリアする。レフトアームの修理が完了する。レフトアームとボディのITが成功する。
MI0006,CA0000,1,感情のロジック,エリア４までのステージを全てクリアする。エラー状態のコアを見つける。
MI0007,CA0000,1,約束,エリア５ステージ番号５－３まで全てクリアする。
MI0008,CA0000,1,しようがない,エリア５ステージ番号５－４まで全てクリアする。感情コードを繋げてエンディングを見た。
MI0009,CA0000,0,仕様じゃない,エリア５ステージ番号５－４まで全てクリアする。感情コードを繋げずエンディングを見た。
MI0010,,0,,ステージ1-1の1つ目のヒトデを獲得する
MI0011,,0,,ステージ1-1の2つ目のヒトデを獲得する
MI0012,,0,,ステージ2-1の1つ目のヒトデを獲得する
MI0013,,0,,ステージ2-1の2つ目のヒトデを獲得する
MI0014,,0,,ステージ2-1の3つ目のヒトデを獲得する
MI0015,,0,,ステージ2-1の4つ目のヒトデを獲得する
MI0016,,0,,ステージ2-1の5つ目のヒトデを獲得する
MI0017,,0,,ステージ2-1の6つ目のヒトデを獲得する
MI0018,,0,,ステージ2-1の7つ目のヒトデを獲得する
MI0019,,0,,ステージ2-1の8つ目のヒトデを獲得する
MI0020,,0,,ステージ2-1の9つ目のヒトデを獲得する
MI0021,,0,,ステージ2-2の1つ目のヒトデを獲得する
